,L1_ITO,L2_ZnO,L3_PbSTBAI,L4_Au,Transmission,Reflection
796.0,0.0681729748998,5.37665091778e-05,0.463676778506,0.0441345969123,1.19538622692e-05,0.423949929311
797.0,0.0688280798851,4.02517590784e-05,0.459999573292,0.0441436187883,1.19904658759e-05,0.42697648581
798.0,0.0694185000245,2.67982866971e-05,0.456328536471,0.044147782865,1.20264470034e-05,0.430066355906
799.0,0.0699942072345,1.33874559659e-05,0.452563353571,0.0441497403284,1.20634484123e-05,0.433267247961
800.0,0.0705946158748,0.0,0.448776002677,0.0441473721688,1.20999784845e-05,0.436469909301
801.0,0.0711737441546,0.0,0.444975417873,0.0441582411763,1.21462972525e-05,0.439680450499
802.0,0.0716872378742,0.0,0.44114562098,0.0441666519296,1.21930724257e-05,0.442988296144
803.0,0.0722266278142,0.0,0.437258884841,0.0441694534481,1.22384512108e-05,0.446332795446
804.0,0.0727432623083,0.0,0.433373153223,0.0441685760958,1.22829760052e-05,0.449702725397
805.0,0.0731941394876,0.0,0.429461290569,0.0441624896586,1.23269474628e-05,0.453169753337
806.0,0.0736706299424,0.0,0.425491438338,0.0441503436665,1.23694965135e-05,0.456675218557
807.0,0.074122979515,0.0,0.421528853518,0.0441322710635,1.24103855499e-05,0.460203485518
808.0,0.0745533980988,0.0,0.417532708911,0.0441126159537,1.24512027809e-05,0.463788825834
809.0,0.0749619515544,0.0,0.413510197979,0.0440874605571,1.24909771225e-05,0.467427898932
810.0,0.0753455972637,0.0,0.409496646847,0.04405588874,1.25288223527e-05,0.471089338327
811.0,0.0757039393398,0.0,0.405494204498,0.0440181005907,1.25648456846e-05,0.474771190726
812.0,0.0760421099392,0.0,0.401418463263,0.0439809105111,1.26019747456e-05,0.478545914312
813.0,0.0763547141099,0.0,0.397371252835,0.0439366152956,1.26367878471e-05,0.482324780971
814.0,0.0766870537483,0.0,0.39333509327,0.0438858091623,1.26692842076e-05,0.486079374535
815.0,0.0769504413651,0.0,0.389282890829,0.0438320224455,1.27015013112e-05,0.489921943859
816.0,0.0771899472346,0.0,0.385207310996,0.0437769416914,1.27337100482e-05,0.493813066368
817.0,0.077448485048,0.0,0.381151511568,0.0437132996627,1.27627613706e-05,0.49767394096
818.0,0.0776379310944,0.0,0.377088445911,0.0436474878864,1.27917937689e-05,0.501613343314
819.0,0.0778452062554,0.0,0.373045663471,0.043575568088,1.28185295676e-05,0.505520743656
820.0,0.0779833161145,0.0,0.368989527634,0.043502702931,1.28452769221e-05,0.509511608044
821.0,0.0781391511169,0.0,0.364960461616,0.0434219806865,1.28692914249e-05,0.513465537289
822.0,0.0782727930286,0.0,0.360936754998,0.0433400408779,1.28929338798e-05,0.517437518162
823.0,0.078334941507,0.0,0.356962906131,0.043255003467,1.29156584107e-05,0.521434233236
824.0,0.0784148388498,0.0,0.353014633393,0.0431662432356,1.29365601398e-05,0.525391347961
825.0,0.0784704960251,0.0,0.349062768663,0.0430727367249,1.29562551907e-05,0.529381042332
826.0,0.0785021004893,0.0,0.345101783777,0.0429761436318,1.29749970533e-05,0.533406997104
827.0,0.0785047577524,0.0,0.341231652258,0.0428901106973,1.29989956296e-05,0.537360480296
828.0,0.0784887988174,0.0,0.337386417864,0.0428260380077,1.30331561118e-05,0.541285712155
829.0,0.0784443803521,0.0,0.333571871201,0.0427557755384,1.30649016651e-05,0.545214908007
830.0,0.0783776004875,0.0,0.329758976212,0.0426832583529,1.30956094119e-05,0.549167069338
831.0,0.0782869406098,0.0,0.326010944662,0.0426088696332,1.3125206022e-05,0.553080119889
832.0,0.078213663564,0.0,0.322308287457,0.042532364082,1.31530846489e-05,0.556932531812
833.0,0.0780723515917,0.0,0.318657553326,0.0424499486759,1.31787846509e-05,0.560806967622
