Wavelength (nm),Global tilt  mW*cm-2*nm-1 (1sun AM 1.5)
667.0,1.4102E-01
668.0,1.4150E-01
669.0,1.4394E-01
670.0,1.4196E-01
671.0,1.4169E-01
672.0,1.3972E-01
673.0,1.4094E-01
674.0,1.4074E-01
675.0,1.3958E-01
676.0,1.4120E-01
677.0,1.3991E-01
678.0,1.4066E-01
679.0,1.3947E-01
680.0,1.3969E-01
681.0,1.3915E-01
682.0,1.3981E-01
683.0,1.3830E-01
684.0,1.3739E-01
685.0,1.3748E-01
686.0,1.3438E-01
687.0,9.6824E-02
688.0,1.1206E-01
689.0,1.1278E-01
690.0,1.1821E-01
691.0,1.2333E-01
692.0,1.2689E-01
693.0,1.2609E-01
694.0,1.2464E-01
695.0,1.2714E-01
696.0,1.2684E-01
697.0,1.3403E-01
698.0,1.3192E-01
699.0,1.2918E-01
700.0,1.2823E-01
701.0,1.2659E-01
702.0,1.2674E-01
703.0,1.2747E-01
704.0,1.3078E-01
705.0,1.3214E-01
706.0,1.3144E-01
707.0,1.3090E-01
708.0,1.3048E-01
709.0,1.3095E-01
710.0,1.3175E-01
711.0,1.3155E-01
712.0,1.3071E-01
713.0,1.2918E-01
714.0,1.3029E-01
715.0,1.2587E-01
716.0,1.2716E-01
717.0,1.1071E-01
718.0,1.0296E-01
719.0,9.2318E-02
720.0,9.8550E-02
721.0,1.0861E-01
722.0,1.2407E-01
723.0,1.1444E-01
724.0,1.0555E-01
725.0,1.0380E-01
726.0,1.0813E-01
727.0,1.0850E-01
728.0,1.0400E-01
729.0,1.0466E-01
730.0,1.1285E-01
731.0,1.0703E-01
732.0,1.1534E-01
733.0,1.1962E-01
734.0,1.2357E-01
735.0,1.2178E-01
736.0,1.2059E-01
737.0,1.2039E-01
738.0,1.2269E-01
739.0,1.1905E-01
740.0,1.2195E-01
741.0,1.2148E-01
742.0,1.2153E-01
743.0,1.2405E-01
744.0,1.2503E-01
745.0,1.2497E-01
746.0,1.2470E-01
747.0,1.2477E-01
748.0,1.2401E-01
749.0,1.2357E-01
750.0,1.2341E-01
751.0,1.2286E-01
752.0,1.2330E-01
753.0,1.2266E-01
754.0,1.2420E-01
755.0,1.2383E-01
756.0,1.2232E-01
757.0,1.2221E-01
758.0,1.2295E-01
759.0,1.1945E-01
760.0,2.6604E-02
761.0,1.5396E-02
762.0,6.8766E-02
763.0,3.7952E-02
764.0,5.3878E-02
765.0,6.8601E-02
766.0,8.1461E-02
767.0,9.7417E-02
768.0,1.1138E-01
769.0,1.1278E-01
770.0,1.1608E-01
771.0,1.1686E-01
772.0,1.1778E-01
773.0,1.1771E-01
774.0,1.1771E-01
775.0,1.1771E-01
776.0,1.1798E-01
777.0,1.1727E-01
778.0,1.1713E-01
779.0,1.1765E-01
780.0,1.1636E-01
781.0,1.1607E-01
782.0,1.1662E-01
783.0,1.1614E-01
784.0,1.1536E-01
785.0,1.1586E-01
786.0,1.1592E-01
787.0,1.1450E-01
788.0,1.1305E-01
789.0,1.1257E-01
790.0,1.0910E-01
791.0,1.1058E-01
792.0,1.0953E-01
793.0,1.0875E-01
794.0,1.0972E-01
795.0,1.0932E-01
796.0,1.0742E-01
797.0,1.0913E-01
798.0,1.1121E-01
799.0,1.0905E-01
800.0,1.0725E-01
801.0,1.0843E-01
802.0,1.0856E-01
803.0,1.0657E-01
804.0,1.0782E-01
805.0,1.0545E-01
806.0,1.0974E-01
807.0,1.0859E-01
808.0,1.0821E-01
809.0,1.0548E-01
810.0,1.0559E-01
811.0,1.0533E-01
812.0,1.0268E-01
813.0,1.0086E-01
814.0,9.0356E-02
815.0,8.9523E-02
816.0,8.3216E-02
817.0,8.5183E-02
